Price,Close,High,Low,Open,Volume
Ticker,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS
Date,,,,,
2024-08-13,2730.527099609375,2746.7126496747696,2719.2721116402236,2731.1248171884126,1051237
2024-08-14,2711.25390625,2731.672599544068,2695.865232377471,2730.128698489809,946995
2024-08-16,2737.35009765625,2742.6789761577716,2699.94897700614,2727.041049778478,1727926
2024-08-19,2731.672607421875,2748.8043405274498,2726.194421400351,2739.1428610875896,1130327
2024-08-20,2740.138916015625,2745.31824329595,2724.202374739349,2731.6726284626034,1097889
2024-08-21,2780.129638671875,2784.014316597518,2732.0710053197217,2738.5950756838574,1417729
2024-08-22,2781.723388671875,2798.8551222805504,2771.0658750969446,2791.8330349940998,1552947
2024-08-23,2804.43310546875,2809.8115911818727,2760.358606032452,2788.0980038420653,2111401
2024-08-26,2809.960693359375,2823.706008608755,2792.4804944847815,2804.4329002368822,1152244
2024-08-27,2755.926025390625,2812.8993574528417,2748.6053223289196,2797.8591487045783,1357212
2024-08-28,2753.38623046875,2770.7171219377433,2734.8599038592824,2749.05338601534,1723549
2024-08-29,2774.203369140625,2798.855207713906,2734.113005400239,2758.9640021154028,2129934
2024-08-30,2766.98193359375,2805.130077281,2749.1530256030196,2784.6116834562663,4029712
2024-09-02,2777.98828125,2797.7594074347394,2767.9780923391727,2782.918600214339,957950
2024-09-03,2783.217529296875,2816.7339722076963,2763.994026710869,2768.974196128366,2022116
2024-09-04,2829.981201171875,2832.570986473555,2760.657147333982,2768.9741273234713,1640986
2024-09-05,2827.192138671875,2843.676546974439,2812.4507895487172,2828.785890047688,1945173
2024-09-06,2827.690185546875,2855.0811157992525,2816.8833644234205,2816.8833644234205,1672730
2024-09-09,2910.211669921875,2926.546527334689,2831.9233142392327,2841.7841949809936,3342754
2024-09-10,2887.103759765625,2925.949079174088,2876.047686972749,2922.3632601136087,1536584
2024-09-11,2892.631591796875,2938.299840829201,2886.6057815764243,2900.0522384751343,1913665
2024-09-12,2944.67431640625,2951.646553213085,2882.72106084284,2899.454477813708,2454564
2024-09-13,2921.3173828125,2944.674327569478,2906.924742555436,2944.674327569478,1902001
2024-09-16,2855.728759765625,2898.4585148287047,2796.2653441503494,2898.4585148287047,1489057
2024-09-17,2862.103271484375,2902.3429418047845,2848.7565151469407,2855.7287521054895,1098661
2024-09-18,2864.444091796875,2882.0738425967133,2850.3500666846962,2862.601331875205,464796
2024-09-19,2900.20166015625,2922.662272862675,2861.9540563004307,2864.8424572935223,1713010
2024-09-20,2965.79052734375,2977.4939252324452,2883.916349278162,2913.19989074987,3641632
2024-09-23,3016.538330078125,3022.9626997016753,2958.1706498759113,2968.180838586818,1300470
2024-09-24,2938.84765625,3008.0221568856377,2934.4153543552784,3008.0221568856377,1929308
